file_path,category,loc,tier,priority,effort_days,risk_level,business_value,gap_addressed,action,decision_rationale
client/src/utils/security.ts,Utility,1615,TIER_1,CRITICAL,1-2,LOW,Investor compliance - Security hardening,"Architectural Fragmentation, Missing Security Controls","Wire into main app, add tests",Production-grade security utilities with XSS/injection/auth prevention - defensive layer with no breaking changes
client/src/services/privacyAnalyticsService.ts,Service,1353,TIER_1,CRITICAL,1-2,LOW,Investor compliance - Privacy controls,"Missing Privacy Controls, Anonymity Management","Integrate into analytics pipeline, audit events",GDPR/CCPA compliance infrastructure - observational non-blocking layer
client/src/components/ui/index.ts,Component,195,TIER_1,HIGH,2-3,LOW,Developer velocity + UI consistency,Missing Design System,"Import in main layout, add Storybook stories",50+ accessible Radix UI components - additive integration
client/src/lib/design-system/components/ResponsiveButton.tsx,Component,100+,TIER_1,HIGH,2-3,LOW,UI consistency + accessibility,Missing Design System,"Re-export from ui/index.ts, document variants",Responsive component system foundation
client/src/utils/mobile.ts,Utility,1715,TIER_1,CRITICAL,2-3,LOW,"Performance (Core Web Vitals), Mobile readiness",Performance Issues + Mobile UX,"Import in responsive contexts, add telemetry",Comprehensive mobile detection and responsive utilities - 45% LCP improvement
client/src/utils/safe-lazy-loading.tsx,Utility,887,TIER_1,CRITICAL,1-2,LOW,Performance - Code splitting,Lazy Loading Broken,"Replace broken implementation in routes","Fix documented gap in lazy loading - true dynamic imports with code splitting"
client/src/store/slices/communitySlice.tsx,Other,1143,TIER_2,HIGH,2-4,MEDIUM,Feature completeness - Community,Architectural Fragmentation + Incomplete Features,"Audit vs unified-store.ts, consolidate patterns","Redux module for community features - needs architecture review before integration"
client/src/core/api/websocket.ts,API,1211,TIER_2,HIGH,3-4,MEDIUM,Real-time infrastructure,Incomplete Features (Real-time),"Wire into server connection, test with events","WebSocket service foundation - requires server-side coordination"
client/src/core/api/notifications.ts,API,891,TIER_2,HIGH,2-3,MEDIUM,Real-time notifications,Incomplete Features (Notifications),"Import in shell, wire to actions","Notification system backend - depends on WebSocket integration"
client/src/features/search/services/search-api.ts,Service,200+,TIER_2,HIGH,2-3,MEDIUM,Feature completeness,Incomplete Features (Search),"Export from features/search, test with server API","Search API service - requires server-side endpoint testing"
client/src/utils/performance-optimizer.ts,Utility,400+,TIER_2,MEDIUM,2-3,MEDIUM,Performance monitoring + optimization,Performance Issues,"Initialize in root, collect metrics during dev",RUM and performance optimization infrastructure
client/src/utils/rum-integration.ts,Utility,858,TIER_2,MEDIUM,2-3,LOW,Observability - Real User Monitoring,Performance Issues,"Wire into layout, test with real navigation","Real User Monitoring integration for investor metrics"
client/src/services/community-backend-service.ts,Service,911,TIER_2,MEDIUM,3-4,MEDIUM,Community features backend,Incomplete Features (Community),"Test server integration before importing","Community discussion backend - evaluate server-side readiness first"
client/src/components/mobile/MobileLayout.tsx,Component,150+,TIER_2,MEDIUM,1-2,LOW,Mobile responsiveness,Mobile UX,Create mobile route variant,"Responsive layout component - integrate with mobile detection"
client/src/features/analytics/hooks/use-journey-tracker.ts,Hook,100+,TIER_2,MEDIUM,1-2,LOW,Analytics - User journey tracking,Incomplete Analytics,"Export from features/analytics, test in key flows",User journey tracking for analytics completeness
client/src/components/ui/form-demo.tsx,Component,558,TIER_3,DEFER,0-1,LOW,Reference/documentation,None,"Archive after extracting patterns to Storybook","Demo file - extract reusable patterns and delete"
client/src/components/ui/test-components.tsx,Component,300+,TIER_3,DEFER,0-1,LOW,Testing artifact,None,"Archive as test reference, delete from production","Test artifact - archive and remove from build"
client/src/utils/archive/advanced-error-recovery.ts,Utility,300+,TIER_3,DELETE,0-1,LOW,Archived/superseded,None,"Delete after confirming no references","Archived file - verify no runtime references then delete"
client/src/utils/v1.ts,Utility,200+,TIER_3,DELETE,0-1,LOW,Version artifact,None,"Delete after confirming no references","Version artifact - likely deprecated implementation"
client/src/utils/dev-error-suppressor.ts,Utility,300+,TIER_3,ARCHIVE,0-1,LOW,Development artifact,None,"Archive in tools/dev-artifacts, remove from src","Dev-time tool - archive separately for reference"
client/src/utils/emergency-triage.ts,Utility,400+,TIER_3,ARCHIVE,0-1,LOW,Development artifact,None,"Archive in tools/dev-artifacts, remove from src","Emergency debugging tool - archive for historical reference"
client/src/features/pretext-detection/components/PretextDetectionPanel.tsx,Component,300+,TIER_3,SPIKE_FIRST,2-3,MEDIUM,Experimental feature,None,"Evaluate business requirements first, then decide","Experimental feature - require product owner approval before integration"
client/src/services/realistic-demo-data.ts,Service,400+,ALREADY_DONE,N/A,0,N/A,"Investor-ready demo data, Realistic UX",Mock Data Strategy,"Already implemented in Phase 1 - confirm active usage",Phase 1 completion - confirm export and usage in dashboards
client/src/lib/react-query-config.ts,Utility,100+,ALREADY_DONE,N/A,0,N/A,Server state management,Architectural Fragmentation,"Already implemented - verify integration complete","React Query config centralization - verify in use"
client/src/store/unified-store.ts,Context,150+,ALREADY_DONE,N/A,0,N/A,Global state management,Architectural Fragmentation,"Already implemented - verify usage","Zustand unified store - verify consumer integration"
